"run_year","Sept1","Nofishing","Unfished","PostSI"
2010,217.362435801631,135.43280386579,NA,149.788
2011,306.703721886252,206.480612515498,NA,207.02
2012,922.707945930468,527.654141309917,552.651931098138,627.927
2013,1472.1754152972,694.908775205576,776.789594437923,869.325
2014,838.8387298039,448.03703774073,593.742749598206,551.183
2015,421.542131573401,240.038129079083,342.375206421677,254.949
2016,274.698825379925,187.114574824563,228.223833587857,205.317
2017,203.350361164557,129.965774759679,149.080374344459,137.063
2018,258.501667927202,169.211257067077,196.315794458473,220.366
2019,919.545208334069,468.876007736647,511.717103422544,507.052
2020,429.180037728035,265.062143835708,NA,352.486
