"brood_year","Age1Hat","Age2Hat","Age3Hat","Age4Hat","Age5Hat"
1995,0,0,0,0,182.49606375897
1996,0,0,0,3511.12777864038,0
1997,0,0,16063.9773355602,3414.45452638869,68.7474065715843
1998,0,527.558313260359,7973.66707756371,5456.46026857857,91.342953667365
1999,10.3994119033066,5324.49889449298,36242.8864300948,37108.429482807,374.378828519038
2000,0,4116.83912715222,23913.2555262508,5866.94328823544,119.059453431878
2001,0,5856.66892903295,21711.8103887861,4662.98501879988,46.7435847713443
2002,0,2920.61612040574,21075.4508630059,2635.67796231738,0
2003,0,465.261323113801,11398.9024162881,3374.30774588284,0
2004,0,738.378854259669,1313.49393963303,82.0420949177409,0
2005,0,68.9696138730953,1587.68051135865,200.011880231976,0
2006,0,405.456806970825,4109.43421653969,319.958079461079,11.3839406272444
2007,0,701.287680731753,5802.56267380747,4871.32712275914,0
2008,4.00352701999905,9571.86314820033,48472.5289584839,896.921926459938,0
2009,0,76550.5317249969,62284.551298993,8800.10328974941,0
2010,0,6628.97019854163,51888.1956604751,7270.29409888946,108.765529046209
2011,14.912373480787,1590.00431244676,8107.82649023219,3962.54467355983,42.8557991311328
2012,0,871.054834571992,4826.56127354112,1900.43813067823,4.0023990714525
2013,0,2119.56807518105,7298.69645595002,584.214895763487,4.00277533684828
2014,0,1618.99562768659,3141.5498327335,8.10547910739515,0
2015,0,5165.52681403586,7590.22601053282,254.632538978137,0
2016,4.11340754932851,4705.78337779888,11668.5467868671,5650.45504444105,4.02205703778233
2017,0,890.233548111061,5165.1166804845,4.00240929838596,0
2018,0,938.950608112331,10.055618822777,10.1462163483298,0
2019,0,0,313.498508580823,0,0
2020,0,85.0906572654632,4.07297339846527,0,0
