"brood_year","Age1Hat","Age2Hat","Age3Hat","Age4Hat","Age5Hat"
2000,0,1838.34126119921,6647.41540114432,1888.17480433584,50.2332065925558
2001,0,38.384947328678,408.929981546708,75.4999721875346,1.15009257198994
2003,0,0,0,1.03289507772021,0
2006,0,48.1427880692056,803.325368634785,100.336405696966,0
2007,0,269.305237621741,3467.19259372415,263.666263913397,4.04125107345343
2008,0,2136.97827236976,3899.55868843766,270.324178604471,0
2009,0,4286.91038351298,5756.44978689307,943.005745336417,0
2010,0,483.372846171119,4293.15863139078,1527.76413395808,19.6517336793295
2011,0,407.824516546788,3035.50159664477,961.319648610149,8.00381217660034
2012,0,349.78652969731,2561.52661088996,843.745459751148,4.02880277173228
2013,0,2264.81482552823,5090.42598198541,340.224858779423,0
2014,12.0084785680641,3042.90604000945,5412.61862769059,88.320125476791,0
2015,0,1176.83990324206,2414.54751852141,56.0347025437538,0
2016,0,970.830473522562,6124.40514147378,954.146218219592,4.00116377486247
2017,0,770.42029399264,2897.30450165892,1003.39649755567,0
2018,0,472.874992397682,2973.05106343958,0,0
2019,0,2915.09011220058,0,0,0
