"brood_year","hatchery_location_name","tag_code","Total_Released","Phi"
2012,"COLEMAN NFH","55599",805035,0.249192892234499
2012,"COLEMAN NFH","55604",841565,0.249153660145087
2012,"COLEMAN NFH","55605",836497,0.24985624574864
2012,"COLEMAN NFH","55596",824146,0.249850147910686
2012,"COLEMAN NFH","55593",403471,0.250939968424001
2012,"COLEMAN NFH","55594",447328,0.247952285571214
2012,"COLEMAN NFH","55595",453346,0.248053363214851
2012,"COLEMAN NFH","55606",877301,0.248637582768058
2012,"COLEMAN NFH","55607",898893,0.247975009261392
2012,"COLEMAN NFH","55608",1227882,0.248545870042887
2012,"COLEMAN NFH","55609",1314136,0.247928677092782
2012,"COLEMAN NFH","55610",1294408,0.249840853888418
2012,"COLEMAN NFH","55597",811907,0.249805704347912
2012,"COLEMAN NFH","55598",837949,0.248560473250759
2016,"COLEMAN NFH","56059",470561,0.238349544479887
2016,"COLEMAN NFH","56061",442865,0.249091709663216
2016,"COLEMAN NFH","56062",450011,0.24749839448369
2016,"COLEMAN NFH","56069",456477,0.248557977729437
2016,"COLEMAN NFH","56070",372199,0.249073748183096
2016,"COLEMAN NFH","56071",445196,0.249227306624498
2016,"COLEMAN NFH","56067",429337,0.244090306682163
2016,"COLEMAN NFH","56074",449560,0.247966900969837
2016,"COLEMAN NFH","56076",413913,0.247322504970851
2016,"COLEMAN NFH","56078",395676,0.248483607800321
2020,"COLEMAN NFH","56573",92337,1
2020,"COLEMAN NFH","56572",94294,0.995004984410461
2020,"COLEMAN NFH","56568",448265,0.247976085574381
2020,"COLEMAN NFH","56569",440617,0.246452134166408
2020,"COLEMAN NFH","56567",437407,0.249886261536738
2020,"COLEMAN NFH","56562",453345,0.249211968809626
2020,"COLEMAN NFH","56564",485091,0.249279001259557
2020,"COLEMAN NFH","56556",456349,0.24982633905191
2020,"COLEMAN NFH","56557",439217,0.249104656695893
2020,"COLEMAN NFH","56558",437486,0.249201117292896
2020,"COLEMAN NFH","56559",453716,0.248525509349461
