"record_code","tag_code_or_release_id","brood_year","hatchery_location_name","cwt_1st_mark_count","cwt_2nd_mark_count","non_cwt_1st_mark_count","non_cwt_2nd_mark_count","Total_Released","Phi"
"N","!07200300040",2002,"COLEMAN NFH",0,0,1685414,0,1685414,0
"T","55599",2012,"COLEMAN NFH",200609,0,529,603897,805035,0.249192892234499
"T","55604",2012,"COLEMAN NFH",209679,0,631886,0,841565,0.249153660145087
"T","55605",2012,"COLEMAN NFH",209004,0,627493,0,836497,0.24985624574864
"T","55596",2012,"COLEMAN NFH",205913,0,618233,0,824146,0.249850147910686
"T","55593",2012,"COLEMAN NFH",101247,0,302224,0,403471,0.250939968424001
"T","55594",2012,"COLEMAN NFH",110916,847,335565,0,447328,0.247952285571214
"T","55595",2012,"COLEMAN NFH",112454,278,557,340057,453346,0.248053363214851
"T","55606",2012,"COLEMAN NFH",218130,0,1077,658094,877301,0.248637582768058
"T","55607",2012,"COLEMAN NFH",222903,0,1698,674292,898893,0.247975009261392
"T","55608",2012,"COLEMAN NFH",305185,0,1553,921144,1227882,0.248545870042887
"T","55609",2012,"COLEMAN NFH",325812,0,2455,985869,1314136,0.247928677092782
"T","55610",2012,"COLEMAN NFH",323396,0,971012,0,1294408,0.249840853888418
"T","55597",2012,"COLEMAN NFH",202819,0,609088,0,811907,0.249805704347912
"T","55598",2012,"COLEMAN NFH",208281,0,1066,628602,837949,0.248560473250759
"N","!07198500142",1984,"COLEMAN NFH",0,0,656640,0,656640,0
"N","!07198500143",1984,"COLEMAN NFH",0,0,1211040,0,1211040,0
"N","!07197900032",1978,"COLEMAN NFH",0,0,827504,0,827504,0
"N","!07198500144",1984,"COLEMAN NFH",0,0,169040,0,169040,0
"N","!07198500146",1984,"COLEMAN NFH",0,0,1458082,0,1458082,0
"T","56059",2016,"COLEMAN NFH",112158,1280,3841,353282,470561,0.238349544479887
"T","56061",2016,"COLEMAN NFH",110314,277,332274,0,442865,0.249091709663216
"T","56062",2016,"COLEMAN NFH",111377,267,338367,0,450011,0.24749839448369
