"record_code","tag_code_or_release_id","brood_year","hatchery_location_name","cwt_1st_mark_count","cwt_2nd_mark_count","non_cwt_1st_mark_count","non_cwt_2nd_mark_count","Total_Released","Phi"
"T","601020809",2016,"FEATHER R HATCHERY",2700,0,0,0,2700,1
"T","601020901",2016,"FEATHER R HATCHERY",4969,0,0,0,4969,1
"T","60572",2013,"FEATHER R HATCHERY",99354,0,105,633,100092,0.992626783359309
"T","62768",2002,"FEATHER R HATCHERY",54493,0,1112,0,55605,0.980001798399424
"T","60429",2011,"FEATHER R HATCHERY",240887,0,533,0,241420,0.997792229309916
"T","60565",2013,"FEATHER R HATCHERY",388174,1745,3927,1190884,1584730,0.244946457756211
"T","60394",2011,"FEATHER R HATCHERY",394966,0,436,1188990,1584392,0.24928553034855
"T","60566",2013,"FEATHER R HATCHERY",379254,1264,5479,1164127,1550124,0.244660427165827
"T","61457",2017,"FEATHER R HATCHERY",82425,0,742,250313,333480,0.247166246851385
"T","62294",2020,"FEATHER R HATCHERY",82836,185,185,251617,334823,0.247402358858262
"T","61458",2017,"FEATHER R HATCHERY",84219,0,93,253424,337736,0.249363408105739
"T","62295",2020,"FEATHER R HATCHERY",85502,0,258242,0,343744,0.248737432507913
"T","62296",2020,"FEATHER R HATCHERY",85092,0,381,257926,343399,0.247793383207289
"T","60456",2017,"FEATHER R HATCHERY",35309,0,39,106312,141660,0.249251729493153
"T","61992",2018,"FEATHER R HATCHERY",82703,0,250385,0,333088,0.248291742722644
"T","60392",2011,"FEATHER R HATCHERY",389500,0,392,1173858,1563750,0.249080735411671
"T","62297",2020,"FEATHER R HATCHERY",85856,96,96,259569,345617,0.248413706501706
"T","62343",2020,"FEATHER R HATCHERY",241688,0,1897,737944,981529,0.24623622939312
"T","62344",2020,"FEATHER R HATCHERY",247437,560,3356,767084,1018437,0.242957590896639
"T","60393",2011,"FEATHER R HATCHERY",391022,0,1178078,0,1569100,0.249201453062265
"T","60391",2011,"FEATHER R HATCHERY",383701,425,812,1159212,1544150,0.248486869798918
"T","60653",2017,"FEATHER R HATCHERY",999026,0,3009404,0,4008430,0.249231245150845
"T","69502",2011,"FEATHER R HATCHERY",99901,110,110,111,100232,0.996697661425493
"T","61462",2017,"FEATHER R HATCHERY",83029,108,250063,0,333200,0.249186674669868
"T","61456",2017,"FEATHER R HATCHERY",83845,0,252785,0,336630,0.249071681074176
"T","68735",2011,"FEATHER R HATCHERY",16680,37,18,0,16735,0.996713474753511
"T","68676",2017,"FEATHER R HATCHERY",79815,0,2020,246705,328540,0.242938454982651
"T","61459",2017,"FEATHER R HATCHERY",83612,92,184,252712,336600,0.248401663695781
"T","62371",2020,"FEATHER R HATCHERY",16859,43,50959,0,67861,0.248434299524027
"T","62299",2020,"FEATHER R HATCHERY",84890,95,190,256813,341988,0.248225083921073
"T","61460",2017,"FEATHER R HATCHERY",78701,0,440,237808,316949,0.248308087421005
"T","61461",2017,"FEATHER R HATCHERY",83283,0,248477,0,331760,0.25103387991319
"T","608000807",2012,"FEATHER R HATCHERY",10080,0,0,0,10080,1
"T","62340",2020,"FEATHER R HATCHERY",85890,0,258278,0,344168,0.249558355221868
"T","60446",2013,"FEATHER R HATCHERY",4350,10,166,10,4536,0.958994708994709
"T","61463",2017,"FEATHER R HATCHERY",83053,0,251040,0,334093,0.2485924577887
"T","62341",2020,"FEATHER R HATCHERY",85757,0,480,259439,345676,0.248084911882804
"T","60452",2013,"FEATHER R HATCHERY",30090,70,1151,70,31381,0.958860456964405
"T","62342",2020,"FEATHER R HATCHERY",86117,96,259753,0,345966,0.248917523687299
"T","61464",2017,"FEATHER R HATCHERY",82470,216,1008,253856,337550,0.244319360094801
"T","60975",2016,"FEATHER R HATCHERY",131874,0,397038,0,528912,0.249330701515564
"T","62298",2020,"FEATHER R HATCHERY",84614,95,285,258194,343188,0.2465529097754
"T","62376",2020,"FEATHER R HATCHERY",30348,76,91639,0,122063,0.248625709674512
"T","60737",2015,"FEATHER R HATCHERY",249371,886,2362,763074,1015693,0.245518084696852
"T","62345",2020,"FEATHER R HATCHERY",258481,0,788641,0,1047122,0.246848982258037
"T","63820",1994,"FEATHER R HATCHERY",40942,0,0,0,40942,1
"T","62769",2002,"FEATHER R HATCHERY",54152,0,1389,0,55541,0.974991447759313
"T","62770",2002,"FEATHER R HATCHERY",51748,0,1327,0,53075,0.974997644842204
"T","601080800",2002,"FEATHER R HATCHERY",24362,0,1418,0,25780,0.94499612102405
"T","601020904",2015,"FEATHER R HATCHERY",47310,0,0,0,47310,1
"T","62771",2002,"FEATHER R HATCHERY",52105,0,1344,0,53449,0.974854534228891
"T","62772",2002,"FEATHER R HATCHERY",52675,0,1351,0,54026,0.97499352163773
"T","62773",2002,"FEATHER R HATCHERY",55625,0,1426,0,57051,0.97500482024855
"T","62774",2002,"FEATHER R HATCHERY",53377,0,1369,0,54746,0.974993606838856
"T","62775",2002,"FEATHER R HATCHERY",55611,0,1426,0,57037,0.974998685064081
"T","62776",2002,"FEATHER R HATCHERY",50704,0,1300,0,52004,0.975001922929005
"T","62779",2002,"FEATHER R HATCHERY",24813,0,1306,0,26119,0.949998085684751
"T","62780",2002,"FEATHER R HATCHERY",25025,0,1317,0,26342,0.950003796218966
"T","62781",2002,"FEATHER R HATCHERY",24938,0,771,0,25709,0.970010502158777
"T","601020905",2015,"FEATHER R HATCHERY",47661,0,0,0,47661,1
"T","62553",1995,"FEATHER R HATCHERY",51749,0,0,0,51749,1
"T","60967",2016,"FEATHER R HATCHERY",507985,567,567,0,509119,0.997772622903486
"T","60976",2016,"FEATHER R HATCHERY",130905,0,389368,0,520273,0.251608290262997
"T","60977",2016,"FEATHER R HATCHERY",131737,146,398897,0,530780,0.248195109084743
"T","601060801",1998,"FEATHER R HATCHERY",28125,0,0,0,28125,1
"T","60655",2017,"FEATHER R HATCHERY",497572,0,548,1499088,1997208,0.249133790771918
"T","61980",2018,"FEATHER R HATCHERY",248302,1285,642,750911,1001140,0.248019258045828
"T","61986",2018,"FEATHER R HATCHERY",81780,424,250783,0,332987,0.245595173385147
"T","601080808",2002,"FEATHER R HATCHERY",53133,0,267,0,53400,0.995
"T","601080809",2002,"FEATHER R HATCHERY",51964,0,791,0,52755,0.985006160553502
"T","601080900",2002,"FEATHER R HATCHERY",51386,0,1318,0,52704,0.97499241044323
"T","601080901",2002,"FEATHER R HATCHERY",51388,0,258,0,51646,0.995004453394261
"T","60968",2016,"FEATHER R HATCHERY",253832,1716,1430,286,257264,0.986659618135456
"T","62537",1995,"FEATHER R HATCHERY",33249,0,0,0,33249,1
"T","60792",2016,"FEATHER R HATCHERY",43232,0,130165,0,173397,0.249323806063542
"T","60969",2016,"FEATHER R HATCHERY",260322,1760,1467,293,263842,0.986658682090039
"T","60970",2016,"FEATHER R HATCHERY",236755,1630,5704,773219,1017308,0.232726961746099
"T","60972",2016,"FEATHER R HATCHERY",241500,0,621000,0,862500,0.28
"T","62536",1995,"FEATHER R HATCHERY",35593,0,0,0,35593,1
"T","62764",2002,"FEATHER R HATCHERY",53275,0,2510,0,55785,0.955005825938873
"T","62765",2002,"FEATHER R HATCHERY",53435,0,2518,0,55953,0.954997944703591
"T","62766",2002,"FEATHER R HATCHERY",53601,0,2526,0,56127,0.954994922229943
"T","62767",2002,"FEATHER R HATCHERY",54971,0,1122,0,56093,0.979997504144902
"T","62540",1995,"FEATHER R HATCHERY",12404,0,0,0,12404,1
