"record_code","tag_code_or_release_id","brood_year","hatchery_location_name","cwt_1st_mark_count","cwt_2nd_mark_count","non_cwt_1st_mark_count","non_cwt_2nd_mark_count","Total_Released","Phi"
"T","60474",2012,"NIMBUS FISH HATCHERY",373919,0,1194,1127275,1502388,0.248883111419953
"T","60475",2012,"NIMBUS FISH HATCHERY",373607,0,1121596,0,1495203,0.249870418933081
"T","60476",2012,"NIMBUS FISH HATCHERY",279070,311,622,0,280003,0.996667892844005
"T","68769",2010,"NIMBUS FISH HATCHERY",268755,0,597,1819,271171,0.991090492714929
"T","68770",2010,"NIMBUS FISH HATCHERY",201266,0,604384,0,805650,0.249818159250295
"T","68783",2010,"NIMBUS FISH HATCHERY",34972,0,104989,0,139961,0.249869606533249
"T","60461",2020,"NIMBUS FISH HATCHERY",166406,373,559,503148,670486,0.248187135898438
"T","60665",2014,"NIMBUS FISH HATCHERY",160978,0,483985,0,644963,0.249592612289387
"T","61536",2020,"NIMBUS FISH HATCHERY",166241,743,501477,0,668461,0.248692145091486
"T","62094",2020,"NIMBUS FISH HATCHERY",34722,0,39,104439,139200,0.249439655172414
"T","61467",2017,"NIMBUS FISH HATCHERY",162236,0,181,487691,650108,0.249552382065749
"T","61468",2017,"NIMBUS FISH HATCHERY",162200,177,488940,0,651317,0.249033880583495
"T","61469",2017,"NIMBUS FISH HATCHERY",169743,0,187,511755,681685,0.249005038984282
"T","61470",2017,"NIMBUS FISH HATCHERY",170406,0,572,513338,684316,0.249016536220109
"T","61466",2017,"NIMBUS FISH HATCHERY",166838,0,500813,0,667651,0.249888040308485
"T","061575*1",2018,"NIMBUS FISH HATCHERY",11865,0,35630,0,47495,0.249815770081061
"T","061575*2",2020,"NIMBUS FISH HATCHERY",169117,189,189,509447,678942,0.249089023804684
"T","62364",2020,"NIMBUS FISH HATCHERY",139898,0,156,421095,561149,0.24930633396834
"T","62374",2020,"NIMBUS FISH HATCHERY",35341,40,106144,0,141525,0.249715597950892
"T","62375",2020,"NIMBUS FISH HATCHERY",35198,119,277,106782,142376,0.247218632353767
"T","61465",2017,"NIMBUS FISH HATCHERY",167209,0,501867,0,669076,0.249910324088743
"T","62362",2020,"NIMBUS FISH HATCHERY",130532,440,1027,396291,528290,0.247083987961158
"T","62363",2020,"NIMBUS FISH HATCHERY",134300,150,403515,0,537965,0.249644493600885
"T","60667",2014,"NIMBUS FISH HATCHERY",158190,711,711,478836,638448,0.247772723855349
"T","60664",2014,"NIMBUS FISH HATCHERY",166925,0,187,501853,668965,0.249527254789115
"T","60668",2014,"NIMBUS FISH HATCHERY",163181,914,183,492834,657112,0.248330573783465
"T","61994",2018,"NIMBUS FISH HATCHERY",199285,0,580,0,199865,0.997098041177795
"T","60997",2016,"NIMBUS FISH HATCHERY",154232,0,178,463492,617902,0.249605924564089
"T","60998",2016,"NIMBUS FISH HATCHERY",151232,0,453872,0,605104,0.249927285227002
"T","60999",2016,"NIMBUS FISH HATCHERY",147768,0,157,443935,591860,0.249667151015443
"T","61201",2016,"NIMBUS FISH HATCHERY",137968,151,414576,0,552695,0.249627733198238
"T","61202",2016,"NIMBUS FISH HATCHERY",145641,0,437075,0,582716,0.249934788130067
"T","61203",2016,"NIMBUS FISH HATCHERY",131891,0,585,398011,530487,0.248622492162862
"T","62555",2000,"NIMBUS FISH HATCHERY",41150,0,9285,0,50435,0.815901655596312
"T","62666",2001,"NIMBUS FISH HATCHERY",238195,0,35749,0,273944,0.869502526063721
"T","62667",2001,"NIMBUS FISH HATCHERY",237231,0,35713,895,273839,0.866315608806635
"T","62668",2001,"NIMBUS FISH HATCHERY",238193,0,35751,0,273944,0.869495225301521
"T","61953",2018,"NIMBUS FISH HATCHERY",139476,0,418740,0,558216,0.249860269143127
"T","61909",2018,"NIMBUS FISH HATCHERY",9102,0,30,27403,36535,0.24913097030245
"T","61995",2018,"NIMBUS FISH HATCHERY",199833,0,441,601217,801491,0.249326567609618
"T","61998",2018,"NIMBUS FISH HATCHERY",139618,0,772,421455,561845,0.248499141222223
"T","61999",2018,"NIMBUS FISH HATCHERY",139272,0,461,419408,559141,0.249082074110108
"T","61996",2018,"NIMBUS FISH HATCHERY",199660,0,440,600700,800800,0.249325674325674
"T","61997",2018,"NIMBUS FISH HATCHERY",199072,0,880,600210,800162,0.248789620101929
"T","62562",2003,"NIMBUS FISH HATCHERY",33714,0,4557,0,38271,0.880928117896057
"T","62563",2003,"NIMBUS FISH HATCHERY",10626,0,1442,0,12068,0.880510440835267
"T","62565",2003,"NIMBUS FISH HATCHERY",18528,0,420,0,18948,0.977834072197593
"T","62566",2003,"NIMBUS FISH HATCHERY",18758,0,424,0,19182,0.977895944114274
"T","62564",2003,"NIMBUS FISH HATCHERY",11965,0,263,0,12228,0.978491985606804
"T","63833",2000,"NIMBUS FISH HATCHERY",28396,0,14615,0,43011,0.660203203831578
"T","63838",2000,"NIMBUS FISH HATCHERY",5192,0,2690,0,7882,0.65871606191322
"T","65448",1982,"NIMBUS FISH HATCHERY",46615,0,3725,0,50340,0.926003178386969
"T","65455",2000,"NIMBUS FISH HATCHERY",98171,0,1226581,1204,1325956,0.0740379017101623
"T","65456",2000,"NIMBUS FISH HATCHERY",99528,0,285184,0,384712,0.258707812597475
"T","65457",2000,"NIMBUS FISH HATCHERY",99102,0,285185,807,385094,0.257344959931861
"T","65458",2000,"NIMBUS FISH HATCHERY",99297,0,322581,403,422281,0.235144370691554
"T","65459",2000,"NIMBUS FISH HATCHERY",99439,0,322581,403,422423,0.235401481453425
"T","65460",2000,"NIMBUS FISH HATCHERY",96371,0,1086133,2805,1185309,0.0813045374666015
"T","60575",2013,"NIMBUS FISH HATCHERY",35093,0,83,105352,140528,0.249722475236252
"T","60579",2013,"NIMBUS FISH HATCHERY",280082,0,660,842194,1122936,0.249419379198815
"T","60580",2013,"NIMBUS FISH HATCHERY",279616,0,838335,0,1117951,0.250114718802524
"T","60581",2013,"NIMBUS FISH HATCHERY",301628,0,320,904202,1206150,0.250075032127016
"T","65451",1983,"NIMBUS FISH HATCHERY",50114,0,558,0,50672,0.988988001263025
"T","65407",1986,"NIMBUS FISH HATCHERY",51891,0,524,0,52415,0.990002861776209
"T","65405",1985,"NIMBUS FISH HATCHERY",48920,0,5800,0,54720,0.894005847953216
