"run_year","recovery_location_name","Age2Sp_CWT","Age3Sp_CWT","Age4Sp_CWT","Age5Sp_CWT","Age2Sp_Hatchery","Age3Sp_Hatchery","Age4Sp_Hatchery","Age5Sp_Hatchery"
2010,"COLEMAN NFH",2233,1462,82,0,8931.36544588522,5658.0360175586,323.938789493251,0
2010,"FEATHER R HATCHERY",1174.2,3030.27,95.76,1.03,4713.70781359618,11937.7385574998,373.340855342382,6.72889670624746
2010,"NIMBUS FISH HATCHERY",625,857,29,0,2378.45039630256,3392.9246589349,117.073725683498,0
2011,"COLEMAN NFH",18937.31,12065.64,1242.57,0,76084.9655757087,48304.3252007783,4860.74522085457,0
2011,"FEATHER R HATCHERY",4819.72,1926.07,557.52,1.01,19015.9292061668,7731.85325448407,2210.78440604829,4.29541931165674
2011,"NIMBUS FISH HATCHERY",1154.43,984.75,83.83,0,4389.97983349496,3826.88040342858,315.589955087918,0
2012,"COLEMAN NFH",1634.76,15396.38,219.88,0,6555.32554131412,61864.7213541468,880.720887281097,0
2012,"FEATHER R HATCHERY",2124.05,6979.29,108.19,2.02,8389.95490640747,27288.6277059793,434.714278341258,8.09422529535774
2012,"NIMBUS FISH HATCHERY",155.54,1698.82,68.68,1.01,481.440837147392,5591.88939247581,273.343837538748,4.04125107345343
2013,"COLEMAN NFH",456.74,12928.5,2205.55,0,1789.83796337748,51833.3896312535,8860.3262056085,0
2013,"FEATHER R HATCHERY",728.21,4925.31,250.42,0,2412.71919631859,19626.9892278849,975.102305318575,0
2013,"NIMBUS FISH HATCHERY",110,1506,303,0,428.903265943141,4441.33760751933,918.924783990237,0
2014,"COLEMAN NFH",319.58,2087.63,1812.79,0,1162.5222130907,8293.78148417505,7259.71355299762,0
2014,"FEATHER R HATCHERY",1722,2505,1542,0,4905.33270091648,7944.58159714727,6139.95112969418,0
2014,"NIMBUS FISH HATCHERY",121.38,822.12,536.52,0,395.246207008185,3097.26861280809,1592.29213129192,0
2015,"COLEMAN NFH",369.96,1618.99,1041.43,28.14,1352.23288125686,6135.74133345857,4104.83813665413,112.828803197723
2015,"FEATHER R HATCHERY",1216,3036,571,15,3359.15850585446,9382.88057486219,1652.81562491345,60.5112438657634
2015,"NIMBUS FISH HATCHERY",436.8,767.52,247.52,8.32,1692.98053033412,2590.13166681197,906.997180766738,24.0450548868455
2016,"COLEMAN NFH",58,1253.95,470.39,8,161.618269390083,4964.59087168755,1888.39026239757,32.1599421648721
2016,"FEATHER R HATCHERY",1871,4303,745,5,4966.18940268736,10797.195727814,2202.02245864929,17.0680704973318
2016,"NIMBUS FISH HATCHERY",451,1293,230,2,1750.9481072039,4978.99789510479,827.52788939055,8.00381217660034
2017,"COLEMAN NFH",1286.73,9,75.7,1,5157.54858552052,33.1985975889916,303.028258091262,4.0023990714525
2017,"FEATHER R HATCHERY",2641,3959,313,7,10603.1511326848,11924.4017877175,771.778813732652,19.1499341006562
2017,"NIMBUS FISH HATCHERY",231,1750,168,1,925.508836546167,6566.38466077936,587.111657912067,4.02880277173228
2018,"COLEMAN NFH",1168.41,1895.4,0,1,4704.7936319575,7598.334292286,0,4.00277533684828
2018,"FEATHER R HATCHERY",2024.88,4310.64,118.5,0,5732.4763726652,17331.6213963045,385.181118607719,0
2018,"NIMBUS FISH HATCHERY",250,569,25,0,1002.38767311538,2277.77146970525,91.4547466126181,0
2019,"COLEMAN NFH",222.98,2890.14,63.53,0,894.256196299567,11650.6643835557,254.632538978137,0
2019,"FEATHER R HATCHERY",1710,2951,202,1,6875.60108241932,7975.25943118149,811.174652747915,4.03512093171182
2019,"NIMBUS FISH HATCHERY",198,1641,15,0,794.674336549787,6572.28285855297,60.1212267597923,0
2020,"COLEMAN NFH",254.04,1285.53,1401.54,0,938.950608112331,5157.08860399993,5650.45504444105,0
2020,"FEATHER R HATCHERY",202,3816,694,0,818.620351800363,15354.5421147584,1825.67517867729,0
2020,"NIMBUS FISH HATCHERY",116,676,234,0,444.891177451119,2713.26255893387,937.330435460342,0
