"run_year","Harvest","Impact","OceanHarvest"
2010,25.173316511936,26.8322471719234,22.814
2011,56.9772540363024,61.0409739464894,69.503
2012,269.452667150547,290.125217197516,276.699
2013,405.546439824617,434.148559477447,404.945
2014,330.486467074103,353.739853270061,302.982
2015,150.732219404272,163.301524123525,124.613
2016,95.839506220484,103.105892977693,91.763
2017,67.3499556487138,73.1302611977039,70.668
2018,71.1376290125687,75.7138929664945,98.626
2019,411.89057553553,444.747641489487,322.978
2020,141.457206907034,150.836819092698,199.498
