run_year,Count,Hatchery
2010,17237,COLEMAN NFH
2011,42092,COLEMAN NFH
2012,84289,COLEMAN NFH
2013,70021,COLEMAN NFH
2014,19277,COLEMAN NFH
2015,15712,COLEMAN NFH
2016,8526,COLEMAN NFH
2017,6395,COLEMAN NFH
2018,14198,COLEMAN NFH
2019,14270,COLEMAN NFH
2020,13736,COLEMAN NFH
2010,19973,FEATHER R HATCHERY
2011,32616,FEATHER R HATCHERY
2012,42160,FEATHER R HATCHERY
2013,27622,FEATHER R HATCHERY
2014,23420,FEATHER R HATCHERY
2015,20816,FEATHER R HATCHERY
2016,20556,FEATHER R HATCHERY
2017,25094,FEATHER R HATCHERY
2018,28356,FEATHER R HATCHERY
2019,27103,FEATHER R HATCHERY
2020,22193,FEATHER R HATCHERY
2010,9095,NIMBUS FISH HATCHERY
2011,12680,NIMBUS FISH HATCHERY
2012,9257,NIMBUS FISH HATCHERY
2013,9076,NIMBUS FISH HATCHERY
2014,8343,NIMBUS FISH HATCHERY
2015,9821,NIMBUS FISH HATCHERY
2016,9227,NIMBUS FISH HATCHERY
2017,10579,NIMBUS FISH HATCHERY
2018,6212,NIMBUS FISH HATCHERY
2019,11296,NIMBUS FISH HATCHERY
2020,6264,NIMBUS FISH HATCHERY
