"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
2000,0.00861291377146988,0.01381294792579,0.0282415326464384,0.47015144278185,0.505667754955162,0.539476654703388,0.876342170654325,0.913220535447885,0.94127178022904,0.00528460445514984,0.0173237854931918,0.016737049072238
2001,0.0150301399095695,0.0259682896355802,0.041335542159154,0.45839125520884,0.519721859786114,0.577472739956902,0.927306948952844,0.964724746173594,0.985291903785669,0.00673310436448118,0.0302225774997406,0.0157380015462599
2006,0.0255863609033298,0.0357813571391166,0.0613715470459476,0.809740071261212,0.85928969723271,0.888745723301211,0.712952382948624,0.89236915683413,0.962657025105267,0.00911122356204247,0.0199216864295389,0.0713134372911777
2007,0.032730390307338,0.0417329824412061,0.0570218450000183,0.748965375086053,0.793682300537542,0.842547039126711,0.859802333045981,0.925015729205291,0.963136186814905,0.00629641373797276,0.0236042425585903,0.0258132642727252
2008,0.064318302089079,0.0750812577940552,0.0837202947314627,0.702895354845445,0.758971164103648,0.822172820905208,0.898352043529684,0.946332261858419,0.976653111645456,0.00497630842545284,0.0311558132519126,0.0199217778561552
2009,0.0711563425926851,0.117685060045,0.201914069514168,0.544700333574849,0.612410137992208,0.715328984751746,0.969616120628546,0.985681617342485,0.994109008713174,0.0367325952689748,0.0475237896564975,0.00624863372682496
2010,0.0197227849117421,0.0372489429083862,0.0752492169418314,0.493064677600257,0.51161043405117,0.531560065616831,0.905765446614716,0.931199975819127,0.958360524244188,0.015113868696335,0.00952564752229668,0.0136515908865342
2011,0.0316793046248748,0.0429802906251664,0.0621992998436223,0.473295338820011,0.524714474324711,0.610675812637925,0.902902811579499,0.940440853343789,0.970367491800656,0.00805476366695491,0.0370707574103492,0.0174744176585213
2012,0.0564212781292438,0.0796191539943382,0.12344552667329,0.60241610387342,0.653333056724705,0.72687950930214,0.873086244937133,0.925970610030586,0.962059332491145,0.0181418405892761,0.0323214516866783,0.0228033918275145
2013,0.145095575844916,0.18584533975721,0.25659010441397,0.810473641190102,0.844064308032775,0.876010293928235,0.818928314592551,0.894845420145285,0.951717223284678,0.0304755208974295,0.0169693393080377,0.035465041837572
2014,0.164200889248554,0.198081738900813,0.254822054639675,0.887617418005269,0.916644064970785,0.952568175121092,0.73124733949113,0.878488795482427,0.957519321010479,0.0245394236356033,0.0176374671055147,0.0587064242535542
2015,0.084019434653395,0.137735002888653,0.243219326424103,0.806792078457654,0.836603175723099,0.865237093919568,1,1,1,0.0435785901986316,0.0151254635624099,0
2016,0.0386998712950256,0.0466219571299133,0.0638133284059699,0.65711512911645,0.679772631471001,0.720406245412451,0.91143075700378,0.931505540970212,0.94833712355453,0.00660491656201342,0.0161846893191908,0.00976220521952553
2017,0.0585024597270839,0.0626001677328968,0.0672578686209078,0.49686389357214,0.540179421139207,0.616622685028277,0.906820532365981,0.94430689382353,0.96976075865689,0.00230320723880584,0.0312066858425834,0.0164355103055928
2018,0.039375365412471,0.0452022382937768,0.0500132641348473,0.919784308170043,0.942871071359685,0.963941800245638,0,0,0,0.00262723041113657,0.0113145762375212,0
2019,0.944751428844862,0.965912407454453,0.981521941931921,0,0,0,0,0,0,0.0095125534682086,0,0
