"brood_year","Mat2Lower","Mat2Mean","Mat2Upper","Mat3Lower","Mat3Mean","Mat3Upper","Mat4Lower","Mat4Mean","Mat4Upper","SDMat2","SDMat3","SDMat4"
2006,0,0,0,0,0,0,1,1,1,0,0,0
2007,0,0,0,0.790634403518363,0.832906917659824,0.869344119945175,1,1,1,0,0.0197688623915856,0
2008,0.117249048924499,0.142301471339458,0.169216455196616,0.585561741706707,0.655447746658227,0.729706959201466,1,1,1,0.0134848451940939,0.0365783577550829,0
2009,0.0729988733205665,0.0862888859857539,0.102602989593816,0.640088373043884,0.703790906610005,0.764054540511378,1,1,1,0.00744658812345765,0.0321924378184572,0
2010,0.0122950761957376,0.0184105733486756,0.0265053269367763,0.499671510100362,0.534185748472575,0.570760026695273,1,1,1,0.00374808441292438,0.0183044683537656,0
2011,0.0227656073420451,0.0410210878753235,0.0630433811543436,0.463828877739719,0.525404504431299,0.593187284459109,1,1,1,0.0100607823834583,0.0327972219815912,0
2012,0.0557514259985124,0.0776089402996866,0.104879564088692,0.638237846494818,0.700466116291275,0.768669167667048,1,1,1,0.0125202119429376,0.0329916903862001,0
2013,0.0743156979894151,0.0981370842949023,0.125400395041504,0.848936541164752,0.896880569271859,0.938540311940132,1,1,1,0.012993625567618,0.0225161769215807,0
2014,0.105772369697383,0.146421702002839,0.19795736184034,0.539403726648006,0.687859095532187,0.832698432408115,1,1,1,0.0239244803551049,0.0774806441782232,0
2015,0.0808415431980736,0.10827706417351,0.155515926509631,0.67257560576425,0.7442781144674,0.815314804907501,1,1,1,0.0200144588751934,0.0366317824251155,0
2016,0.0549039910809003,0.0640193115624633,0.0783163772956806,0.636472472673681,0.664665652967369,0.698060798517432,1,1,1,0.00597262309185897,0.0152592264985832,0
2017,0.0626032094656472,0.0927941189280141,0.131216241268097,1,1,1,1,1,1,0.0175326163920991,0,0
2018,1,1,1,1,1,1,1,1,1,0,0,0
