"run_year","Nofishing3Lower","Nofishing3Mean","Nofishing3Upper"
1999,257.770140759108,577.285098784325,1128.58414093073
2000,82734.9463084473,89211.8273562148,96915.6818651613
2001,45850.460403325,50863.3000151503,59040.4355482872
2002,199024.23354344,222092.900235652,247219.969824205
2003,290166.594428766,307736.601839204,326419.068044735
2004,120422.061755506,124280.87187153,128709.427621673
2005,100683.438856154,106980.168882828,114206.949000307
2006,47718.7035151508,51860.6029982046,56933.5068204011
2007,29067.567242134,35041.9266813917,44101.839366243
2008,11607.4086086792,15206.6986150332,20286.6114305183
2009,13125.2056253784,13901.5345748865,14787.4407903221
2010,66156.287373126,69175.8429988962,73536.2607870477
2011,141079.326204143,149208.104721069,169370.559175191
2012,324920.83984439,355267.823962607,436700.265216294
2013,375308.475272554,403280.321980993,477477.57911457
2014,228896.599310276,246681.460738293,289059.433623876
2015,128159.218748393,137687.256942527,159450.211381951
2016,115036.285135523,124934.230047695,149894.053066376
2017,79144.9160072431,92075.7413784642,127642.301325525
2018,104514.959915673,114819.080373807,140067.993357968
2019,154723.785334844,166161.262951717,193680.420066029
2020,146026.567890839,156405.421307987,181916.261351258
2021,118494.096274228,124823.447666315,137000.303921583
2022,2031.25262847633,3560.44714434525,7479.99647101696
