"run_year","Nofishing3Lower","Nofishing3Mean","Nofishing3Upper"
2010,61625.2891322014,66256.9608668936,71298.9753566211
2011,51771.8834131954,57272.5077944291,65143.2690926944
2012,153998.119419738,172386.31734731,212215.831891593
2013,266282.51979666,291628.453224583,344898.495168502
2014,182869.006522338,201355.577002437,235674.613886375
2015,93381.0954433333,102350.872136556,119890.982096084
2016,54370.3304565169,62180.3447768682,74109.5001499091
2017,31199.8971610239,37890.0333812144,52349.8558257621
2018,47419.526696631,54392.1766932699,65890.2232446133
2019,281300.069714114,302714.74478493,354223.849288408
2020,99158.0449260479,108656.722527721,127382.249549471
2021,0,0,0
