run_year,Month,Location,fishery,Release.mort.rate
1981,2,FB,40,0.14
1981,2,KC,40,0.14
1981,2,MO,40,0.14
1981,2,SF,40,0.14
1981,3,FB,40,0.14
1981,3,KC,40,0.14
1981,3,MO,40,0.14
1981,3,SF,40,0.14
1981,4,FB,40,0.14
1981,4,KC,40,0.14
1981,4,MO,40,0.14
1981,4,SF,40,0.14
1981,5,CO,10,0.26
1981,5,FB,10,0.26
1981,5,KC,10,0.26
1981,5,KO,10,0.26
1981,5,MO,10,0.26
1981,5,NO,10,0.26
1981,5,SF,10,0.26
1981,5,CO,40,0.14
1981,5,FB,40,0.14
1981,5,KC,40,0.14
1981,5,KO,40,0.14
1981,5,MO,40,0.14
1981,5,NO,40,0.14
1981,5,SF,40,0.14
1981,6,FB,10,0.26
1981,6,KC,10,0.26
1981,6,MO,10,0.26
1981,6,SF,10,0.26
1981,6,CO,40,0.14
1981,6,FB,40,0.14
1981,6,KC,40,0.14
1981,6,KO,40,0.14
1981,6,MO,40,0.14
1981,6,NO,40,0.14
1981,6,SF,40,0.14
1981,7,CO,10,0.26
1981,7,FB,10,0.26
1981,7,KC,10,0.26
1981,7,KO,10,0.26
1981,7,MO,10,0.26
1981,7,NO,10,0.26
1981,7,SF,10,0.26
1981,7,CO,40,0.14
1981,7,FB,40,0.14
1981,7,KC,40,0.14
1981,7,KO,40,0.14
1981,7,MO,40,0.14
1981,7,NO,40,0.14
1981,7,SF,40,0.14
1981,8,CO,10,0.26
1981,8,FB,10,0.26
1981,8,KC,10,0.26
1981,8,KO,10,0.26
1981,8,MO,10,0.26
1981,8,NO,10,0.26
1981,8,SF,10,0.26
1981,8,CO,40,0.14
1981,8,FB,40,0.14
1981,8,KC,40,0.14
1981,8,KO,40,0.14
1981,8,MO,40,0.14
1981,8,NO,40,0.14
1981,8,SF,40,0.14
1981,9,CO,10,0.26
1981,9,FB,10,0.26
1981,9,KC,10,0.26
1981,9,KO,10,0.26
1981,9,MO,10,0.26
1981,9,NO,10,0.26
1981,9,SF,10,0.26
1981,9,CO,40,0.14
1981,9,FB,40,0.14
1981,9,KC,40,0.14
1981,9,KO,40,0.14
1981,9,MO,40,0.14
1981,9,NO,40,0.14
1981,9,SF,40,0.14
1981,10,CO,10,0.26
1981,10,KO,10,0.26
1981,10,NO,10,0.26
1981,10,FB,40,0.14
1981,10,KC,40,0.14
1981,10,KO,40,0.14
1981,10,MO,40,0.14
1981,10,SF,40,0.14
1981,11,CO,10,0.26
1981,11,KO,10,0.26
1981,11,FB,40,0.14
1981,11,KC,40,0.14
1981,11,KO,40,0.14
1981,11,MO,40,0.14
1981,11,SF,40,0.14
1982,2,FB,40,0.14
1982,2,KC,40,0.14
1982,2,MO,40,0.14
1982,2,SF,40,0.14
1982,3,FB,40,0.14
1982,3,KC,40,0.14
1982,3,MO,40,0.14
1982,3,SF,40,0.14
1982,4,MO,10,0.26
1982,4,SF,10,0.26
1982,4,FB,40,0.14
1982,4,KC,40,0.14
1982,4,MO,40,0.14
1982,4,SF,40,0.14
1982,5,CO,10,0.26
1982,5,FB,10,0.26
1982,5,KC,10,0.26
1982,5,KO,10,0.26
1982,5,MO,10,0.26
