run_year,Count,River
2000,87793,SAC R BEL RBDD
2001,57920,SAC R BEL RBDD
2002,45552,SAC R BEL RBDD
2003,66485,SAC R BEL RBDD
2004,34050,SAC R BEL RBDD
2005,44950,SAC R BEL RBDD
2006,46568,SAC R BEL RBDD
2007,14097,SAC R BEL RBDD
2008,23134,SAC R BEL RBDD
2009,5311,SAC R BEL RBDD
2010,13824,SAC R BEL RBDD
2011,10299,SAC R BEL RBDD
2012,22435,SAC R BEL RBDD
2013,32515,SAC R BEL RBDD
2014,29885,SAC R BEL RBDD
2015,21766,SAC R BEL RBDD
2016,3981,SAC R BEL RBDD
2017,1711,SAC R BEL RBDD
2018,8982,SAC R BEL RBDD
2019,23482,SAC R BEL RBDD
2020,12952,SAC R BEL RBDD
2021,14913,SAC R BEL RBDD
2022,4612,SAC R BEL RBDD
2000,53447,BATTLE CREEK
2001,100604,BATTLE CREEK
2002,397149,BATTLE CREEK
2003,64764,BATTLE CREEK
2004,23861,BATTLE CREEK
2005,20520,BATTLE CREEK
2006,19493,BATTLE CREEK
2007,9904,BATTLE CREEK
2008,4286,BATTLE CREEK
2009,3047,BATTLE CREEK
2010,6631,BATTLE CREEK
2011,12514,BATTLE CREEK
2012,31554,BATTLE CREEK
2013,31234,BATTLE CREEK
2014,26575,BATTLE CREEK
2015,3642,BATTLE CREEK
2016,1021,BATTLE CREEK
2017,354,BATTLE CREEK
2018,10046,BATTLE CREEK
2019,20857,BATTLE CREEK
2020,19224,BATTLE CREEK
2021,17453,BATTLE CREEK
2022,1620,BATTLE CREEK
2000,6687,CLEAR CREEK
2001,10865,CLEAR CREEK
2002,16071,CLEAR CREEK
2003,9475,CLEAR CREEK
2004,6365,CLEAR CREEK
2005,14824,CLEAR CREEK
2006,8422,CLEAR CREEK
2007,4157,CLEAR CREEK
2008,7677,CLEAR CREEK
2009,3228,CLEAR CREEK
2010,7192,CLEAR CREEK
2011,4841,CLEAR CREEK
2012,7631,CLEAR CREEK
2013,13337,CLEAR CREEK
2014,15794,CLEAR CREEK
2015,8809,CLEAR CREEK
2016,2481,CLEAR CREEK
2017,2353,CLEAR CREEK
2018,8547,CLEAR CREEK
2019,5712,CLEAR CREEK
2020,6631,CLEAR CREEK
2021,19867,CLEAR CREEK
2022,2997,CLEAR CREEK
2007,1250,COTTONWOOD
2008,510,COTTONWOOD
2009,1055,COTTONWOOD
2010,1137,COTTONWOOD
2011,2144,COTTONWOOD
2012,2556,COTTONWOOD
2013,2774,COTTONWOOD
2014,1940,COTTONWOOD
2015,604,COTTONWOOD
2016,813,COTTONWOOD
2017,124,COTTONWOOD
2018,453,COTTONWOOD
2019,1318,COTTONWOOD
2020,86,COTTONWOOD
2021,1955,COTTONWOOD
2022,5,COTTONWOOD
2006,4209,COW CREEK
2007,2044,COW CREEK
2008,478,COW CREEK
2009,261,COW CREEK
2010,536,COW CREEK
2011,1810,COW CREEK
2012,1488,COW CREEK
2013,3011,COW CREEK
2014,3535,COW CREEK
2015,591,COW CREEK
2016,822,COW CREEK
2017,288,COW CREEK
2018,1164,COW CREEK
2019,1818,COW CREEK
2020,452,COW CREEK
2021,1463,COW CREEK
2022,110,COW CREEK
2000,8895,SAC R AB RBDD
2001,17376,SAC R AB RBDD
2002,20138,SAC R AB RBDD
2003,22744,SAC R AB RBDD
2004,9554,SAC R AB RBDD
2005,12062,SAC R AB RBDD
2006,8900,SAC R AB RBDD
2007,2964,SAC R AB RBDD
2008,1609,SAC R AB RBDD
2009,516,SAC R AB RBDD
2010,2548,SAC R AB RBDD
2011,1293,SAC R AB RBDD
2012,6266,SAC R AB RBDD
2013,7569,SAC R AB RBDD
2014,4897,SAC R AB RBDD
2015,6893,SAC R AB RBDD
2016,309,SAC R AB RBDD
2017,41,SAC R AB RBDD
2018,455,SAC R AB RBDD
2019,949,SAC R AB RBDD
2020,575,SAC R AB RBDD
2021,716,SAC R AB RBDD
2022,68,SAC R AB RBDD
2002,2611,MILL CREEK
2003,2426,MILL CREEK
2004,1192,MILL CREEK
2005,2426,MILL CREEK
2006,1403,MILL CREEK
2007,851,MILL CREEK
2008,218,MILL CREEK
2009,102,MILL CREEK
2010,144,MILL CREEK
2011,1231,MILL CREEK
2012,890,MILL CREEK
2013,2197,MILL CREEK
2014,2488,MILL CREEK
2015,1033,MILL CREEK
2016,602,MILL CREEK
2017,342,MILL CREEK
2018,611,MILL CREEK
2019,2523,MILL CREEK
2020,382,MILL CREEK
2021,589,MILL CREEK
2022,214,MILL CREEK
2004,300,DEER CREEK
2005,963,DEER CREEK
2006,1905,DEER CREEK
2007,563,DEER CREEK
2008,194,DEER CREEK
2009,58,DEER CREEK
2010,166,DEER CREEK
2011,662,DEER CREEK
2012,873,DEER CREEK
2013,1026,DEER CREEK
2014,849,DEER CREEK
2015,612,DEER CREEK
2016,253,DEER CREEK
2017,106,DEER CREEK
2018,124,DEER CREEK
2019,584,DEER CREEK
2020,60,DEER CREEK
2021,210,DEER CREEK
2022,7,DEER CREEK
2001,4433,BUTTE CREEK
2002,3665,BUTTE CREEK
2003,3492,BUTTE CREEK
2004,2516,BUTTE CREEK
2005,4255,BUTTE CREEK
2006,1920,BUTTE CREEK
2007,1225,BUTTE CREEK
2008,275,BUTTE CREEK
2009,306,BUTTE CREEK
2010,370,BUTTE CREEK
2011,416,BUTTE CREEK
2012,813,BUTTE CREEK
2013,2200,BUTTE CREEK
2014,1412,BUTTE CREEK
2015,82,BUTTE CREEK
2016,626,BUTTE CREEK
2017,105,BUTTE CREEK
2019,1481,BUTTE CREEK
2000,114717,FEATHER RIVER
2001,178645,FEATHER RIVER
2002,105163,FEATHER RIVER
2003,89946,FEATHER RIVER
2004,54171,FEATHER RIVER
2005,49160,FEATHER RIVER
2006,76414,FEATHER RIVER
2007,21909,FEATHER RIVER
2008,5939,FEATHER RIVER
2009,4847,FEATHER RIVER
2010,44914,FEATHER RIVER
2011,47289,FEATHER RIVER
2012,63649,FEATHER RIVER
2013,151209,FEATHER RIVER
2014,61200,FEATHER RIVER
2015,20566,FEATHER RIVER
2016,38775,FEATHER RIVER
2017,10534,FEATHER RIVER
2018,45826,FEATHER RIVER
2019,51967,FEATHER RIVER
2020,42724,FEATHER RIVER
2021,9652,FEATHER RIVER
2022,6573,FEATHER RIVER
2000,14995,YUBA RIVER
2001,23392,YUBA RIVER
2002,24051,YUBA RIVER
2003,28316,YUBA RIVER
2004,15269,YUBA RIVER
2005,17630,YUBA RIVER
2006,8121,YUBA RIVER
2007,2604,YUBA RIVER
2008,3508,YUBA RIVER
2009,4635,YUBA RIVER
2010,14375,YUBA RIVER
2011,8928,YUBA RIVER
2012,7668,YUBA RIVER
2013,14880,YUBA RIVER
2014,11615,YUBA RIVER
2015,6507,YUBA RIVER
2016,4057,YUBA RIVER
2017,1634,YUBA RIVER
2018,3455,YUBA RIVER
2019,3446,YUBA RIVER
2020,4194,YUBA RIVER
2021,3719,YUBA RIVER
2022,3171,YUBA RIVER
2000,100852,AMERICAN RIVER
2001,135384,AMERICAN RIVER
2002,124252,AMERICAN RIVER
2003,163742,AMERICAN RIVER
2004,99230,AMERICAN RIVER
2005,62679,AMERICAN RIVER
2006,24540,AMERICAN RIVER
2007,10120,AMERICAN RIVER
2008,2514,AMERICAN RIVER
2009,5211,AMERICAN RIVER
2010,14689,AMERICAN RIVER
2011,25626,AMERICAN RIVER
2012,38328,AMERICAN RIVER
2013,58228,AMERICAN RIVER
2014,26475,AMERICAN RIVER
2015,15739,AMERICAN RIVER
2016,14473,AMERICAN RIVER
2017,9663,AMERICAN RIVER
2018,21092,AMERICAN RIVER
2019,27030,AMERICAN RIVER
2020,22456,AMERICAN RIVER
2021,11232,AMERICAN RIVER
2022,16383,AMERICAN RIVER
