"run_year","Sept1Lower","Sept1Mean","Sept1Upper"
1999,98785.1623290914,103514.868116623,108659.328042984
2000,198116.553790704,208177.239579325,222655.446512161
2001,170696.375815131,189445.47833462,211353.229344867
2002,478198.797403121,509727.799351464,541459.788302229
2003,596435.441539579,615446.565917818,636389.286401067
2004,236789.484501169,241986.008467803,247819.374598023
2005,167315.223330479,176108.65049375,185738.806474474
2006,119549.483429298,127154.619921071,136224.720477291
2007,41879.13263082,49463.4211568545,60866.3558788942
2008,19119.0877455825,23792.7156426651,30141.827783116
2009,19991.2007791191,21172.6958075793,22504.3904420194
2010,115356.345554987,119949.61072119,126920.48588228
2011,191606.715324962,202446.006968429,230234.300451939
2012,582235.751792687,621690.329271711,730289.072514167
2013,776176.28299272,817461.097950745,927042.596312735
2014,453994.406503619,477753.084263103,538848.378152395
2015,234497.247776607,247409.070921995,278618.112271201
2016,173107.184249251,186748.076576664,222481.202529718
2017,117511.663268896,133138.750189052,176976.122780064
2018,152750.341240984,165885.695196852,198183.910568277
2019,331669.121065987,347569.1633514,387404.910274412
2020,277352.170841676,290362.385881073,320772.815467198
2021,169575.994319168,177862.859456382,196219.778599293
2022,8145.82100319322,10181.3335361227,15110.4625592026
