"Month","Age","mu","sd"
3,3,29.2891763559651,2.11988222047025
4,3,28.8502283848462,2.15972816322209
4,4,33.6842459597112,2.42016688746877
5,2,18.762989557926,3.27204351266241
5,3,29.5810859768786,2.29846642223494
5,4,34.6813006275555,2.67425754334966
6,2,22.1734145995922,2.25062880100544
6,3,30.2958921062674,2.76236664014461
6,4,35.6276755372304,2.79537745473388
7,2,22.8848525183588,2.39386206867075
7,3,31.4329880436792,2.70950760941244
7,4,36.1293188444376,2.70596138073042
8,2,24.27429967458,2.19181805353555
8,3,31.8564580817688,2.80146793312711
8,4,36.1709427135882,2.8664611846013
9,2,24.779725155196,2.09837617704043
9,3,31.8484574419909,2.53758647927982
9,4,36.2249951275974,2.8049854828139
10,2,23.8866947200208,2.12986267408749
10,3,31.8056202694096,2.77713928191761
10,4,36.1411849800838,2.76052298357112
11,2,24.8267623532774,1.94024806753583
