"run_year","Unfished3Lower","Unfished3Mean","Unfished3Upper"
1999,41400.8410232006,45476.3130571843,49810.9280434846
2000,194489.779527466,202979.728548546,212243.966169025
2001,75965.0085472767,84728.8473483713,94756.2946260665
2002,226668.246894805,251216.638108789,279043.409842678
2003,347882.046360678,368280.940130159,389053.432319003
2004,192672.694940555,199488.040377606,207466.799615028
2005,134127.468419681,141606.897899859,149701.541786902
2006,60957.7611369708,66252.938436418,72123.4446899122
2007,41623.8425168067,48980.4811420748,59038.1553083476
2008,12312.8283510924,15967.1241985793,20982.709208157
2009,13160.4208771168,13936.1326911526,14832.0510073848
2010,66247.0645603601,69274.1699993219,73632.6201670792
2011,146002.907015813,154128.590228907,174282.518889399
2012,338918.116366014,369367.149937882,450870.079579219
2013,431450.309780945,457569.783549907,526254.732798586
2014,303025.089712476,319797.845088737,357629.704768048
2015,190025.414031625,199038.666346051,217672.10755654
2016,140668.588813945,150311.762595596,173648.74974604
2017,92696.1984815427,105881.149361752,141437.823592405
2018,119024.204685385,128857.329447654,153062.846287028
2019,170493.645525824,181940.610796918,208982.16173039
2020,203182.504771837,213280.228972414,235397.836072675
2021,152536.232254666,158555.867181841,167382.07057847
2022,8829.02030838107,11720.3851931648,16808.8672058161
