"River","CWT Age","Reader Age","run_year","Supplement","CWT Code"
"FRH",4,4,2010,"Y","067007"
"NFH",4,4,2010,"Y","067010"
"NFH",4,4,2010,"Y","067009"
"NFH",4,4,2010,"Y","067010"
"NFH",4,4,2010,"Y","067010"
"NFH",4,4,2010,"Y","067014"
"NFH",4,3,2010,"Y","067014"
"NFH",4,4,2010,"Y","067009"
"NFH",4,4,2010,"Y","067010"
"NFH",3,3,2010,"Y","060359"
"NFH",3,3,2010,"Y","068602"
"NFH",2,3,2010,"Y","068638"
"NFH",3,3,2010,"Y","068603"
"NFH",2,2,2010,"Y","068638"
"NFH",3,4,2010,"Y","068602"
"NFH",3,3,2010,"Y","068603"
"NFH",3,3,2010,"Y","068602"
"NFH",4,3,2010,"Y","067009"
"NFH",4,4,2010,"Y","067010"
"NFH",2,2,2010,"Y","054879"
"NFH",2,0,2010,"Y","054879"
"AMERICAN RIVER",0,2,2010,"N",NA
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",3,3,2010,"N","068608"
"AMERICAN RIVER",3,3,2010,"N","068604"
"AMERICAN RIVER",2,0,2010,"N","054879"
"AMERICAN RIVER",0,4,2010,"N",NA
"AMERICAN RIVER",2,2,2010,"Y","068649"
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",2,0,2010,"N","054879"
"AMERICAN RIVER",3,0,2010,"N","068602"
"AMERICAN RIVER",2,2,2010,"N","054871"
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",0,3,2010,"N",NA
"AMERICAN RIVER",0,2,2010,"N",NA
"AMERICAN RIVER",2,2,2010,"N","068638"
"AMERICAN RIVER",3,3,2010,"Y","0501040901"
"AMERICAN RIVER",2,2,2010,"N","068637"
"AMERICAN RIVER",0,2,2010,"N",NA
"AMERICAN RIVER",0,2,2010,"N",NA
"AMERICAN RIVER",3,3,2010,"N","068610"
